"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"482"	12	1	"04/19/16 09:10:02"	1461056901.78618	-68.399	6.491	-44.882	3.851	-6.979	0.894	1.181	0.007	0.013	0	1.232	0.002	0.014	0	266.381	0.224	3.075	0.003	1.872	0.005	0	NA	NA	NA	NA	NA	NA	"16"	16	10	834	" mtotal=863.13. Pssim=834.1 Torr."	"04/19/16"	"09:10:02"	1461056901.78618	1.246	1.194	269.456	NA	NA	1025.95	11	769.525783366065	2.16756869757349	2.85912623825121	-47.7411262382512
"483"	13	1	"04/19/16 09:19:56"	1461057495.32541	-67.211	5.789	-45.416	4.266	-7.418	0.904	1.176	0.006	0.013	0	1.224	0.002	0.013	0	266.655	0.209	3.071	0.004	1.767	0.006	0	NA	NA	NA	NA	NA	NA	"16"	16	10	834	" mtotal=863.13. "	"04/19/16"	"09:19:56"	1461057495.32541	1.237	1.189	269.726	NA	NA	1025.95	11	769.525783366065	2.16756869757349	2.87398735850878	-48.2899873585088
"484"	14	1	"04/19/16 09:30:57"	1461058156.77663	-64.809	6.23	-45.555	4.051	-7.765	1.231	1.134	0.006	0.012	0	1.182	0.002	0.013	0	262.437	0.209	3.016	0.004	1.677	0.005	0	NA	NA	NA	NA	NA	NA	"19"	19	10	834	" mtotal=820.98. Pssim=834.1 Torr."	"04/19/16"	"09:30:57"	1461058156.77663	1.195	1.146	265.453	NA	NA	1025.95	11	769.525783366065	2.16756869757349	2.94480031996388	-48.4998003199639
"485"	15	1	"04/19/16 09:40:55"	1461058755.01405	-69.826	6.466	-45.883	4.585	-7.734	0.928	1.127	0.007	0.012	0	1.182	0.002	0.013	0	264.713	0.207	3.058	0.004	1.938	0.007	0	NA	NA	NA	NA	NA	NA	"19"	19	10	834	" mtotal=820.98."	"04/19/16"	"09:40:55"	1461058755.01405	1.195	1.139	267.771	NA	NA	1025.95	11	769.525783366065	2.16756869757349	2.94480031996388	-48.8278003199639
"486"	16	1	"04/19/16 09:51:23"	1461059383.39843	-72.266	7.299	-42.299	5.142	-7.74	0.819	0.891	0.006	0.01	0	0.944	0.001	0.01	0	261.475	0.219	3.016	0.004	1.869	0.006	0	NA	NA	NA	NA	NA	NA	"22"	22	10	834	" mtotal=850.97. Pssim=834.2 Torr."	"04/19/16"	"09:51:23"	1461059383.39843	0.954	0.901	264.491	NA	NA	1025.95	11	769.525783366065	2.16756869757349	3.40653779544439	-45.7055377954444
"487"	17	1	"04/19/16 10:01:37"	1461059996.59682	-70.9	7.627	-44.703	5.815	-7.856	0.89	0.903	0.006	0.01	0	0.95	0.001	0.01	0	265.666	0.205	3.054	0.003	1.689	0.006	0	NA	NA	NA	NA	NA	NA	"22"	22	10	834	" mtotal=850.97."	"04/19/16"	"10:01:37"	1461059996.59682	0.96	0.913	268.72	NA	NA	1025.95	11	769.525783366065	2.16756869757349	3.39368508876652	-48.0966850887665
"498"	28	1	"04/19/16 11:58:26"	1461067005.57819	-77.889	5.503	-74.081	3.159	-9.203	1.477	1.48	0.007	0.016	0	1.497	0.002	0.016	0	173.196	0.166	1.953	0.003	0.729	0.001	0	NA	NA	NA	NA	NA	NA	"7"	7	5	834	" mtotal=622.79. with 25mL syringe."	"04/19/16"	"11:58:26"	1461067005.57819	1.513	1.496	175.149	NA	NA	1025.95	11	769.525783366065	4.33513739514698	2.46110640864725	-76.5421064086473
"499"	29	1	"04/19/16 12:08:23"	1461067602.93031	-76.072	5.077	-73.586	3.877	-9.285	1.808	1.444	0.006	0.015	0	1.462	0.002	0.015	0	169.906	0.15	1.914	0.004	0.681	0.001	0	NA	NA	NA	NA	NA	NA	"7"	7	5	834	" mtotal=622.79. with 25mL syringe."	"04/19/16"	"12:08:23"	1461067602.93031	1.477	1.459	171.82	NA	NA	1025.95	11	769.525783366065	4.33513739514698	2.51047334272405	-76.0964733427241
"500"	30	1	"04/19/16 12:18:41"	1461068221.30861	-78.334	4.748	-73.519	3.368	-8.61	1.756	1.427	0.006	0.015	0	1.442	0.002	0.015	0	170.9	0.158	1.928	0.004	0.712	0.001	0	NA	NA	NA	NA	NA	NA	"7"	7	5	834	" mtotal=622.79. with 25mL syringe."	"04/19/16"	"12:18:41"	1461068221.30861	1.457	1.442	172.828	NA	NA	1025.95	11	769.525783366065	4.33513739514698	2.53842196921321	-76.0574219692132
"699"	36	1	"05/25/16 15:16:54"	1464203718.43497	30.826	5.162	39.091	3.267	-16.511	5.075	1.519	0.009	0.018	0	1.519	0.006	0.018	0	50.733	0.687	0.562	0.009	0.131	0.005	0	NA	NA	NA	NA	NA	NA	"38"	38	1	827	" mtotal=762.58. Pssim=827 Torr."	"05/25/16"	"15:16:54"	1464203718.43497	1.537	1.537	51.295	NA	NA	1004.48	16	753.421959038496	21.953169537437	2.42884344765926	36.6621565523407
"700"	37	1	"05/25/16 15:27:27"	1464204350.86659	30.623	5.805	39.621	3.363	-17.243	3.976	1.466	0.008	0.017	0	1.467	0.006	0.017	0	53.309	0.684	0.59	0.007	0.162	0.005	0	NA	NA	NA	NA	NA	NA	"38"	38	1	827	" mtotal=762.58. Pssim=827 Torr."	"05/25/16"	"15:27:27"	1464204350.86659	1.484	1.483	53.899	NA	NA	1004.48	16	753.421959038496	21.953169537437	2.50078065327236	37.1202193467276
"3"	3	1	"04/06/16 00:08:16"	1459901050.45716	-53.623	3.582	-55.522	2.667	-4.312	0.343	1.929	0.006	0.021	0	1.931	0.001	0.021	0	997.716	0.563	11.208	0.004	0.233	0.018	0	NA	NA	NA	NA	NA	NA	"1"	1	16.5	1200	" PtBarrow_North 11m slow meas mode"	"04/06/16"	"00:08:16"	1459901050.45716	1.952	1.95	1008.924	NA	NA	1011.6	2	758.76239821932	1.91699728130837	0	-55.522
"4"	4	1	"04/06/16 00:30:11"	1459902364.83345	-51.965	4.274	-58.295	2.883	-4.897	0.403	1.802	0.007	0.019	0	1.804	0.001	0.019	0	932.867	0.319	10.443	0.004	0.064	0.003	0	NA	NA	NA	NA	NA	NA	"3"	3	15	1200	" PtBarrow_North 2m slow meas mode"	"04/06/16"	"00:30:11"	1459902364.83345	1.823	1.821	943.31	NA	NA	1011.6	2	758.76239821932	2.10869700943921	0	-58.295
"5"	5	1	"04/06/16 00:46:07"	1459903322.02533	-55.246	3.825	-57.046	2.984	-4.259	0.365	1.841	0.006	0.02	0	1.841	0.001	0.02	0	954.998	0.416	10.722	0.004	0.194	0.015	0	NA	NA	NA	NA	NA	NA	"3"	3	15	1200	" PtBarrow_North 2m slow meas mode"	"04/06/16"	"00:46:07"	1459903322.02533	1.861	1.861	965.72	NA	NA	1011.6	2	758.76239821932	2.10869700943921	0	-57.046
"6"	6	1	"04/06/16 01:02:46"	1459904319.82081	-55.864	4.211	-58.497	2.786	-4.349	0.347	1.852	0.006	0.02	0	1.852	0.001	0.02	0	980.136	0.393	10.999	0.004	0.171	0.014	0	NA	NA	NA	NA	NA	NA	"4"	4	15	1200	" Near_IMB 3m slow meas mode"	"04/06/16"	"01:02:46"	1459904319.82081	1.872	1.872	991.135	NA	NA	1011.6	2	758.76239821932	2.10869700943921	0	-58.497
"8"	8	1	"04/06/16 01:34:58"	1459906251.22763	-59.095	4.196	-57.479	2.841	-4.021	0.362	1.808	0.006	0.019	0	1.804	0	0.019	0	939.859	0.688	10.567	0.004	0.262	0.027	0	NA	NA	NA	NA	NA	NA	"4"	4	15	1200	" Near_IMB 3m slow meas mode"	"04/06/16"	"01:34:58"	1459906251.22763	1.823	1.827	950.426	NA	NA	1011.6	2	758.76239821932	2.10869700943921	0	-57.479
"27"	17	1	"04/08/16 15:59:02"	1460130896.2147	-85.148	3.13	-76.2	2.077	-7.888	0.824	2.419	0.007	0.025	0	2.419	0.002	0.025	0	321.854	0.349	3.645	0.004	0.889	0.082	0	NA	NA	NA	NA	NA	NA	"7"	7	10	1200	"  Mtot = 622.79g"	"04/08/16"	"15:59:02"	1460130896.2147	2.444	2.444	325.499	NA	NA	1020	3	765.062916354	3.13699690404221	0	-76.2
"28"	18	1	"04/08/16 16:15:30"	1460131883.84084	-90.411	3.311	-75.876	2.285	-7.33	0.79	2.416	0.007	0.025	0	2.435	0.002	0.026	0	348.446	0.398	4	0.004	1.589	0.087	0	NA	NA	NA	NA	NA	NA	"7"	7	10	1200	"  Mtot = 622.79g"	"04/08/16"	"16:15:30"	1460131883.84084	2.461	2.441	352.446	NA	NA	1020	3	765.062916354	3.13699690404221	0	-75.876
"37"	27	1	"04/08/16 18:56:11"	1460141526.10873	-40.687	0.637	-42.05	0.468	-13.555	1.491	12.35	0.009	0.133	0	12.343	0.006	0.133	0	137.212	0.116	1.522	0.003	0.04	0.002	0	NA	NA	NA	NA	NA	NA	"8"	8	5	1200	"  Mtot = 923.13g"	"04/08/16"	"18:56:11"	1460141526.10873	12.476	12.483	138.734	NA	NA	1020	3	765.062916354	6.27399380808441	0	-42.05
"38"	28	1	"04/08/16 19:12:25"	1460142499.55818	-42.805	0.655	-41.635	0.413	-6.616	1.753	12.161	0.007	0.132	0	12.158	0.004	0.132	0	145.248	0.081	1.644	0.003	0.79	0.044	0	NA	NA	NA	NA	NA	NA	"8"	8	5	1200	"  Mtot = 923.13g"	"04/08/16"	"19:12:25"	1460142499.55818	12.29	12.293	146.892	NA	NA	1020	3	765.062916354	6.27399380808441	0	-41.635
"39"	29	1	"04/08/16 19:28:52"	1460143486.02915	-38.179	0.698	-38.082	0.471	-10.701	1.993	11.563	0.007	0.126	0	11.555	0.003	0.125	0	116.65	0.131	1.303	0.003	0.281	0.026	0	NA	NA	NA	NA	NA	NA	"11"	11	5	1200	"  Mtot = 820.85g"	"04/08/16"	"19:28:52"	1460143486.02915	11.68	11.689	117.953	NA	NA	1020	3	765.062916354	6.27399380808441	0	-38.082
"40"	30	1	"04/08/16 19:44:21"	1460144414.17975	-39.468	0.651	-37.985	0.473	-6.708	1.996	11.347	0.008	0.124	0	11.347	0.002	0.124	0	119.554	0.118	1.353	0.004	0.775	0.042	0	NA	NA	NA	NA	NA	NA	"11"	11	5	1200	"  Mtot = 820.85g"	"04/08/16"	"19:44:21"	1460144414.17975	11.471	11.471	120.907	NA	NA	1020	3	765.062916354	6.27399380808441	0	-37.985
"41"	31	1	"04/08/16 20:00:05"	1460145357.19485	-37.912	0.668	-38.292	0.448	-14.295	2.145	11.943	0.008	0.129	0	11.936	0.005	0.129	0	113.097	0.152	1.257	0.003	0.176	0.011	0	NA	NA	NA	NA	NA	NA	"14"	14	5	1200	"  Mtot = 778.22g"	"04/08/16"	"20:00:05"	1460145357.19485	12.065	12.072	114.354	NA	NA	1020	3	765.062916354	6.27399380808441	0	-38.292
"42"	32	1	"04/08/16 20:15:45"	1460146295.74606	-39.539	0.613	-38.101	0.496	-6.667	1.991	11.957	0.007	0.131	0	11.957	0.004	0.131	0	119.055	0.103	1.348	0.004	0.804	0.044	0	NA	NA	NA	NA	NA	NA	"14"	14	5	1200	"  Mtot = 778.22g"	"04/08/16"	"20:15:45"	1460146295.74606	12.088	12.088	120.403	NA	NA	1020	3	765.062916354	6.27399380808441	0	-38.101
"43"	33	1	"04/08/16 20:31:33"	1460147243.56851	-41.212	0.757	-37.906	0.601	-0.693	2.735	10.953	0.01	0.121	0	10.974	0.006	0.121	0	111.489	0.091	1.289	0.004	1.631	0.076	0	NA	NA	NA	NA	NA	NA	"17"	17	5	1200	"  Mtot = 892.68g syringe valve only opened when injection started"	"04/08/16"	"20:31:33"	1460147243.56851	11.095	11.074	112.778	NA	NA	1020	3	765.062916354	6.27399380808441	0	-37.906
"44"	34	1	"04/08/16 20:47:51"	1460148220.65733	-38.202	0.677	-38.23	0.458	-11.547	2.216	11.293	0.007	0.123	0	11.286	0.003	0.122	0	117.605	0.141	1.313	0.004	0.274	0.026	0	NA	NA	NA	NA	NA	NA	"17"	17	5	1200	"  Mtot = 892.68g "	"04/08/16"	"20:47:51"	1460148220.65733	11.408	11.416	118.918	NA	NA	1020	3	765.062916354	6.27399380808441	0	-38.23
"45"	35	1	"04/08/16 21:03:30"	1460149159.55534	-38.83	0.697	-37.92	0.502	-8.509	2.345	10.687	0.007	0.116	0	10.684	0.003	0.116	0	107.915	0.116	1.214	0.004	0.551	0.039	0	NA	NA	NA	NA	NA	NA	"20"	20	5	1200	"  Mtot = 830.48g"	"04/08/16"	"21:03:30"	1460149159.55534	10.8	10.803	109.129	NA	NA	1020	3	765.062916354	6.27399380808441	0	-37.92
"46"	36	1	"04/08/16 21:19:48"	1460150138.22414	-38.783	0.723	-38.153	0.617	-10.188	2.293	10.182	0.006	0.111	0	10.179	0.002	0.111	0	108.932	0.115	1.222	0.004	0.47	0.033	0	NA	NA	NA	NA	NA	NA	"20"	20	5	1200	"  Mtot = 830.48g "	"04/08/16"	"21:19:48"	1460150138.22414	10.29	10.293	110.154	NA	NA	1020	3	765.062916354	6.27399380808441	0	-38.153
"47"	37	1	"04/08/16 21:37:27"	1460151196.26027	-38.529	0.754	-38.381	0.499	-10.523	2.513	11.319	0.007	0.123	0	11.313	0.003	0.123	0	107.044	0.126	1.197	0.004	0.318	0.032	0	NA	NA	NA	NA	NA	NA	"23"	23	5	1200	"  Mtot = 871.86g "	"04/08/16"	"21:37:27"	1460151196.26027	11.436	11.442	108.241	NA	NA	1020	3	765.062916354	6.27399380808441	0	-38.381
"48"	38	1	"04/08/16 21:54:04"	1460152193.54779	-38.331	0.698	-38.301	0.484	-11.307	2.191	11.668	0.008	0.127	0	11.663	0.002	0.127	0	116.964	0.109	1.307	0.004	0.327	0.03	0	NA	NA	NA	NA	NA	NA	"23"	23	5	1200	"  Mtot = 871.86g "	"04/08/16"	"21:54:04"	1460152193.54779	11.79	11.795	118.271	NA	NA	1020	3	765.062916354	6.27399380808441	0	-38.301
"49"	39	1	"04/08/16 22:11:01"	1460153209.94189	155.537	3.808	8.124	3.115	-22.489	2.484	9.599	0.042	0.126	0	11	0.009	0.126	0	459.18	0.323	5.112	0.012	0.767	0.045	1	NA	NA	NA	NA	NA	NA	"24"	24	5	1200	"  Mtot = 881.67g only opened Swagelock valve when prompted to open syringe valve"	"04/08/16"	"22:11:01"	1460153209.94189	11.126	9.725	464.292	NA	NA	1020	3	765.062916354	6.27399380808441	0	8.124
"50"	40	1	"04/08/16 22:33:32"	1460154561.82192	29168.11	112461.519	416.912	21.054	35.582	18.904	0.46	0.321	0.156	0.041	11.116	0.057	0.177	0.002	478.073	0.255	5.548	0.1	-0.157	0.006	1	NA	NA	NA	NA	NA	NA	"24"	24	5	1200	"  Mtot = 881.67g"	"04/08/16"	"22:33:32"	1460154561.82192	11.293	0.616	483.621	NA	NA	1020	3	765.062916354	6.27399380808441	0	416.912
"77"	26	1	"04/11/16 17:57:09"	1460397328.18149	-125.852	3.208	-35.353	2.43	9.214	0.339	1.983	0.006	0.02	0	1.805	0.001	0.02	0	974.635	0.19	11.176	0.004	0.631	0.002	0	NA	NA	NA	NA	NA	NA	"2"	2	15	1156	" Mtot = 852.10g"	"04/11/16"	"17:57:09"	1460397328.18149	1.825	2.003	985.811	NA	NA	1007.2	4	755.46212681544	2.04025228879526	0	-35.353
"81"	30	1	"04/11/16 18:42:00"	1460400020.12167	-111.688	1.609	-70.23	1.212	4.854	0.306	5.079	0.007	0.052	0	4.857	0.001	0.051	0	1305.186	0.286	15.027	0.004	1.092	0.002	0	NA	NA	NA	NA	NA	NA	"6"	6	15	1203	" Mtot = 853.67g"	"04/11/16"	"18:42:00"	1460400020.12167	4.908	5.131	1320.213	NA	NA	1007.2	4	755.46212681544	2.12320372268226	0	-70.23
"82"	31	1	"04/11/16 18:52:14"	1460400634.1512	-110.932	1.473	-71.126	1.21	4.396	0.274	5.088	0.007	0.052	0	4.877	0.002	0.052	0	1312.803	0.223	15.119	0.004	1.134	0.002	0	NA	NA	NA	NA	NA	NA	"6"	6	15	1203	" Mtot = 853.67g"	"04/11/16"	"18:52:14"	1460400634.1512	4.929	5.14	1327.922	NA	NA	1007.2	4	755.46212681544	2.12320372268226	0	-71.126
"83"	32	1	"04/11/16 19:05:34"	1460401432.86278	-107.77	1.415	-71.763	1.206	3.493	0.354	5.021	0.007	0.051	0	4.833	0.001	0.051	0	1289.904	0.248	14.831	0.004	1.091	0.002	0	NA	NA	NA	NA	NA	NA	"6"	6	15	1204	" Mtot = 853.67g"	"04/11/16"	"19:05:34"	1460401432.86278	4.884	5.072	1304.735	NA	NA	1007.2	4	755.46212681544	2.12496864680752	0	-71.763
"103"	15	1	"04/14/16 18:06:13"	1460653473.83074	-32.227	1.918	-36.649	1.269	-8.002	1.988	4.041	0.007	0.044	0	4.082	0.004	0.045	0	146.065	0.112	1.646	0.003	0.624	0.003	0	NA	NA	NA	NA	NA	NA	"26"	26	5	908	" Mtot = 872.42g"	"04/13/16"	"18:06:13"	1460567073.83074	4.127	4.085	147.711	NA	NA	1022.7	5	767.08808289729	4.73478871719913	0	-36.649
"104"	16	1	"04/14/16 18:16:21"	1460654080.33962	-34.199	2.1	-35.867	1.492	-3.641	1.877	3.894	0.008	0.043	0	3.931	0.004	0.043	0	136.099	0.129	1.546	0.003	0.803	0.002	0	NA	NA	NA	NA	NA	NA	"26"	26	5	908	" Mtot = 872.42g"	"04/13/16"	"18:16:21"	1460567680.33962	3.974	3.937	137.645	NA	NA	1022.7	5	767.08808289729	4.73478871719913	0	-35.867
"105"	17	1	"04/14/16 18:28:55"	1460654835.36641	-36.465	1.926	-35.646	1.437	-2.605	2.091	3.956	0.007	0.044	0	3.992	0.004	0.044	0	133.242	0.094	1.52	0.004	1.005	0.002	0	NA	NA	NA	NA	NA	NA	"29"	29	5	907	" Mtot = 755.10g"	"04/13/16"	"18:28:55"	1460568435.36641	4.036	4	134.762	NA	NA	1022.7	5	767.08808289729	4.72957419218019	0	-35.646
"106"	18	1	"04/14/16 18:40:18"	1460655518.56557	-36.98	1.628	-35.501	1.158	-1.686	1.61	4.004	0.006	0.044	0	4.045	0.004	0.044	0	143.254	0.118	1.641	0.003	1.186	0.002	0	NA	NA	NA	NA	NA	NA	"29"	29	5	907	" Mtot = 755.10g"	"04/13/16"	"18:40:18"	1460569118.56557	4.089	4.048	144.895	NA	NA	1022.7	5	767.08808289729	4.72957419218019	0	-35.501
"108"	20	1	"04/14/16 19:05:51"	1460657052.30571	-38.422	1.838	-36.336	1.268	-3.753	1.399	4.5	0.008	0.049	0	4.531	0.005	0.05	0	185.491	0.138	2.116	0.003	1.062	0.002	0	NA	NA	NA	NA	NA	NA	"33"	33	5	906	" Mtot = 729.12g (Switched to 10ml syringe that had formol in it)."	"04/13/16"	"19:05:51"	1460570652.30571	4.581	4.549	187.607	NA	NA	1022.7	5	767.08808289729	4.72435966716125	0	-36.336
"109"	21	1	"04/14/16 19:16:23"	1460657683.40128	-38.259	1.704	-35.882	1.002	-4.208	1.425	4.447	0.009	0.049	0	4.482	0.005	0.049	0	193.13	0.148	2.207	0.003	1.178	0.002	0	NA	NA	NA	NA	NA	NA	"33"	33	5	906	" Mtot = 729.12g"	"04/13/16"	"19:16:23"	1460571283.40128	4.531	4.496	195.337	NA	NA	1022.7	5	767.08808289729	4.72435966716125	0	-35.882
"110"	22	1	"04/14/16 19:29:39"	1460658479.28481	-38.347	1.706	-37.426	1.372	-5.564	1.159	4.271	0.008	0.047	0	4.307	0.004	0.047	0	197.857	0.135	2.253	0.003	1.065	0.002	0	NA	NA	NA	NA	NA	NA	"37"	37	5	905	" Mtot = 740.40g"	"04/13/16"	"19:29:39"	1460572079.28481	4.354	4.318	200.11	NA	NA	1022.7	5	767.08808289729	4.71914514214231	0	-37.426
"111"	23	1	"04/14/16 19:41:27"	1460659186.55339	-38.224	1.771	-37.318	1.225	-5.543	1.275	4.245	0.006	0.047	0	4.282	0.004	0.047	0	196.94	0.132	2.243	0.003	1.063	0.002	0	NA	NA	NA	NA	NA	NA	"37"	37	5	905	" Mtot = 740.40g"	"04/13/16"	"19:41:27"	1460572786.55339	4.329	4.292	199.183	NA	NA	1022.7	5	767.08808289729	4.71914514214231	0	-37.318
"122"	34	1	"04/14/16 21:46:53"	1460666712.39388	-37.771	1.317	-39.632	0.844	-10.223	2.426	6.087	0.009	0.066	0	6.1	0.007	0.066	0	101.524	0.094	1.135	0.003	0.304	0.001	0	NA	NA	NA	NA	NA	NA	"8"	8	2	902	" Mtot = 924.50g. Patm = 1024.18 mb"	"04/13/16"	"21:46:53"	1460580312.39388	6.166	6.153	102.659	NA	NA	1022.7	5	767.08808289729	11.7587539177137	0	-39.632
"123"	35	1	"04/14/16 21:56:54"	1460667313.03236	-37.903	1.305	-39.547	0.951	-9.447	2.224	5.99	0.01	0.065	0	6.004	0.007	0.065	0	98.662	0.106	1.105	0.003	0.329	0.001	0	NA	NA	NA	NA	NA	NA	"8"	8	2	901	" Mtot = 924.50g."	"04/13/16"	"21:56:54"	1460580913.03236	6.069	6.055	99.767	NA	NA	1022.7	5	767.08808289729	11.7457176051663	0	-39.547
"124"	36	1	"04/14/16 22:08:21"	1460668000.84937	-37.564	1.341	-39.453	0.906	-8.455	2.997	5.882	0.009	0.064	0	5.899	0.007	0.064	0	97.558	0.116	1.094	0.003	0.368	0.001	0	NA	NA	NA	NA	NA	NA	"8"	8	2	901	" Mtot = 924.50g."	"04/13/16"	"22:08:21"	1460581600.84937	5.963	5.946	98.652	NA	NA	1022.7	5	767.08808289729	11.7457176051663	0	-39.453
"125"	37	1	"04/14/16 22:20:33"	1460668733.3209	-22.608	0.199	9999999	0	-0.251	12.919	47.009	0.052	0.518	0.001	34.979	0	9999999	0	18.128	0.07	0.205	0.003	0.254	0	0	NA	NA	NA	NA	NA	NA	"27"	27	0.6	900	" Mtot = 755.23g."	"04/13/16"	"22:20:33"	1460582333.3209	10000033.979	47.527	18.333	NA	NA	1022.7	5	767.08808289729	39.1089376420633	0	9999999
"126"	38	1	"04/14/16 22:30:25"	1460669324.56746	-22.58	0.166	9999999	0	12.325	15.964	46.614	0.052	0.515	0.001	40.413	0	9999999	0	18.823	0.076	0.216	0.003	0.426	0.001	0	NA	NA	NA	NA	NA	NA	"27"	27	0.6	900	" Mtot = 755.23g."	"04/13/16"	"22:30:25"	1460582924.56746	10000039.413	47.129	19.039	NA	NA	1022.7	5	767.08808289729	39.1089376420633	0	9999999
"127"	39	1	"04/14/16 22:42:27"	1460670046.74556	-22.616	0.192	9999999	0	67.35	18.231	41.513	0.048	0.462	0.001	33.67	0	9999999	0	15.033	0.061	0.183	0.003	0.791	0.014	0	NA	NA	NA	NA	NA	NA	"30"	30	0.6	896	" Mtot = 494.79g."	"04/13/16"	"22:42:27"	1460583646.74556	10000032.67	41.975	15.216	NA	NA	1022.7	5	767.08808289729	38.9351201414319	0	9999999
"128"	40	1	"04/14/16 22:52:31"	1460670650.55953	-22.519	0.181	9999999	0	28.5	13.732	51.705	0.058	0.574	0.001	42.302	0	9999999	0	16.985	0.064	0.199	0.003	0.687	0.001	0	NA	NA	NA	NA	NA	NA	"30"	30	0.6	896	" Mtot = 494.79g."	"04/13/16"	"22:52:31"	1460584250.55953	10000041.302	52.279	17.184	NA	NA	1022.7	5	767.08808289729	38.9351201414319	0	9999999
"129"	41	1	"04/14/16 23:02:57"	1460671276.57344	-22.614	0.187	9999999	0	28.123	14.403	51.116	0.058	0.568	0.001	39.944	0	9999999	0	17.472	0.068	0.204	0.003	0.703	0.026	0	NA	NA	NA	NA	NA	NA	"30"	30	0.6	894	" Mtot = 494.79g."	"04/13/16"	"23:02:57"	1460584876.57344	10000038.944	51.684	17.676	NA	NA	1022.7	5	767.08808289729	38.8482113911162	0	9999999
"130"	42	1	"04/14/16 23:12:56"	1460671876.45239	-22.444	0.162	9999999	0	13.215	14.088	45.176	0.051	0.5	0.001	37.285	0	9999999	0	17.388	0.06	0.2	0.003	0.498	0.001	0	NA	NA	NA	NA	NA	NA	"34"	34	0.6	892	" Mtot = 477.33g."	"04/13/16"	"23:12:56"	1460585476.45239	10000036.285	45.676	17.588	NA	NA	1022.7	5	767.08808289729	38.7613026408005	0	9999999
"131"	43	1	"04/14/16 23:23:38"	1460672517.04515	-22.487	0.204	9999999	0	11.43	13.15	45.202	0.051	0.501	0.001	37.064	0	9999999	0	17.574	0.082	0.202	0.003	0.553	0.001	0	NA	NA	NA	NA	NA	NA	"34"	34	0.6	892	" Mtot = 477.33g."	"04/13/16"	"23:23:38"	1460586117.04515	10000036.064	45.703	17.776	NA	NA	1022.7	5	767.08808289729	38.7613026408005	0	9999999
"132"	44	1	"04/14/16 23:34:59"	1460673197.89834	-22.499	0.187	9999999	0	-2.705	12.49	48.1	0.053	0.531	0.001	36.955	0	9999999	0	18.801	0.078	0.212	0.003	0.364	0.001	0	NA	NA	NA	NA	NA	NA	"38"	38	0.6	892	" Mtot = 762.58g."	"04/13/16"	"23:34:59"	1460586797.89834	10000035.955	48.631	19.013	NA	NA	1022.7	5	767.08808289729	38.7613026408005	0	9999999
"133"	45	1	"04/14/16 23:45:05"	1460673804.61056	-22.529	0.211	9999999	0	-11.073	13.176	47.378	0.053	0.522	0.001	36.035	0	9999999	0	18.258	0.072	0.204	0.003	0.255	0.001	0	NA	NA	NA	NA	NA	NA	"38"	38	0.6	892	" Mtot = 762.58g."	"04/13/16"	"23:45:05"	1460587404.61056	10000035.035	47.9	18.462	NA	NA	1022.7	5	767.08808289729	38.7613026408005	0	9999999
"134"	1	1	"04/15/16 00:12:58"	1460679081.58237	-22.523	0.214	9999999	0	-17.979	12.637	46.88	0.051	0.517	0.001	39.319	0	9999999	0	18.409	0.073	0.204	0.002	0.238	0.001	0	NA	NA	NA	NA	NA	NA	"39"	44	0.6	906	" Mtot = 652.45g. Pssim = 906 torr"	"04/14/16"	"00:12:58"	1460592681.58237	10000038.319	47.397	18.613	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"135"	2	1	"04/15/16 00:24:40"	1460679782.84124	-22.919	0.21	9999999	0	42.008	13.288	44.058	0.052	0.498	0.001	35.643	0	9999999	0	21.049	0.065	0.254	0.003	1.708	0.004	0	NA	NA	NA	NA	NA	NA	"39"	44	0.6	906	" Mtot = 652.45g."	"04/14/16"	"00:24:40"	1460593382.84124	10000034.643	44.556	21.303	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"136"	3	1	"04/15/16 00:34:33"	1460680376.40449	-22.577	0.168	9999999	0	-11.988	11.443	47.102	0.054	0.52	0.001	34.166	0	9999999	0	18.649	0.064	0.208	0.002	0.33	0.002	0	NA	NA	NA	NA	NA	NA	"39"	44	0.6	906	" Mtot = 652.45g."	"04/14/16"	"00:34:33"	1460593976.40449	10000033.166	47.622	18.857	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
