"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"104"	30	1	"07/08/16 15:17:28"	1468005352.84078	-35.594	0.889	-37.33	0.684	-129.291	57.278	9.325	0.016	0.101	0	9.333	0.015	0.101	0	4.593	0.104	0.045	0.003	0.119	0.002	0	NA	NA	NA	NA	NA	NA	41	69	3	864	" Mtot = 838.77."	"07/08/16"	"15:17:28"	9.434	9.426	4.638	NA	NA	1008.41	26	756.369701451507	7.61532355003949	0	-37.33
"105"	31	1	"07/08/16 15:29:22"	1468006067.02015	-35.756	0.748	-37.431	0.604	-131.809	53.169	9.263	0.015	0.101	0	9.27	0.014	0.1	0	4.375	0.1	0.043	0.003	0.11	0.002	0	NA	NA	NA	NA	NA	NA	41	69	3	863	" Mtot = 838.77."	"07/08/16"	"15:29:22"	9.37	9.364	4.418	NA	NA	1008.41	26	756.369701451507	7.60650951815287	0	-37.431
"117"	43	1	"07/08/16 17:42:01"	1468014024.93803	-22.543	0.169	9999999	0	-90.348	14.992	85.748	0.144	0.942	0.002	66.652	0	9999999	0	16.382	0.153	0.168	0.003	0.035	0.002	0	NA	NA	NA	NA	NA	NA	19	70	1	863	" Mtot = 908.21."	"07/08/16"	"17:42:01"	10000065.652	86.69	16.55	NA	NA	1008.41	26	756.369701451507	22.8195285544586	0	9999999
"118"	44	1	"07/08/16 17:53:24"	1468014708.56386	-22.504	0.171	9999999	0	-94.753	14.878	84.389	0.145	0.928	0.002	65.062	0	9999999	0	16.671	0.114	0.17	0.003	0.056	0.002	0	NA	NA	NA	NA	NA	NA	19	70	1	862	" Mtot = 908.21."	"07/08/16"	"17:53:24"	10000064.062	85.317	16.841	NA	NA	1008.41	26	756.369701451507	22.7930864587988	0	9999999
"119"	45	1	"07/08/16 18:04:52"	1468015395.44567	-22.54	0.146	9999999	0	-96.02	13.431	91.095	0.15	1.001	0.002	66.498	0	9999999	0	17.156	0.119	0.174	0.003	0.042	0.002	0	NA	NA	NA	NA	NA	NA	40	71	1	862	" Mtot = 882.03."	"07/08/16"	"18:04:52"	10000065.498	92.096	17.33	NA	NA	1008.41	26	756.369701451507	22.7930864587988	0	9999999
"120"	46	1	"07/08/16 18:16:03"	1468016067.22105	-22.477	0.129	9999999	0	-92.38	13.417	87.898	0.144	0.966	0.002	56.411	0	9999999	0	17.931	0.108	0.183	0.003	0.041	0.002	0	NA	NA	NA	NA	NA	NA	40	71	1	862	" Mtot = 882.03."	"07/08/16"	"18:16:03"	10000055.411	88.864	18.114	NA	NA	1008.41	26	756.369701451507	22.7930864587988	0	9999999
"121"	47	1	"07/08/16 18:25:56"	1468016659.90274	-22.456	0.137	9999999	0	-95.251	11.762	87.102	0.139	0.958	0.002	60.786	0	9999999	0	18.252	0.116	0.186	0.003	0.054	0.002	0	NA	NA	NA	NA	NA	NA	40	71	1	862	" Mtot = 882.03."	"07/08/16"	"18:25:56"	10000059.786	88.06	18.438	NA	NA	1008.41	26	756.369701451507	22.7930864587988	0	9999999
"122"	48	1	"07/08/16 18:36:11"	1468017274.84465	-22.474	0.145	9999999	0	-100.033	17.996	81.43	0.132	0.895	0.001	53.466	0	9999999	0	12.805	0.111	0.13	0.003	0.045	0.002	0	NA	NA	NA	NA	NA	NA	47	72	1	862	" Mtot = 921.89."	"07/08/16"	"18:36:11"	10000052.466	82.325	12.935	NA	NA	1008.41	26	756.369701451507	22.7930864587988	0	9999999
"123"	49	1	"07/08/16 18:46:47"	1468017911.61737	-22.517	0.137	9999999	0	-96.569	16.487	81.338	0.136	0.894	0.001	63.881	0	9999999	0	16.295	0.169	0.166	0.003	0.037	0.002	0	NA	NA	NA	NA	NA	NA	47	72	1	862	" Mtot = 921.89."	"07/08/16"	"18:46:47"	10000062.881	82.232	16.461	NA	NA	1008.41	26	756.369701451507	22.7930864587988	0	9999999
"124"	50	1	"07/08/16 18:57:43"	1468018567.67028	-22.598	0.163	9999999	0	-449.343	99.414	78.104	0.128	0.858	0.001	53.403	0	9999999	0	2.603	0.104	0.016	0.003	0.034	0.002	0	NA	NA	NA	NA	NA	NA	50	73	1	862	" Mtot = 840.64."	"07/08/16"	"18:57:43"	10000052.403	78.962	2.619	NA	NA	1008.41	26	756.369701451507	22.7930864587988	0	9999999
"125"	51	1	"07/08/16 19:07:43"	1468019167.16369	-22.608	0.169	9999999	0	-480.091	75.72	75.448	0.123	0.829	0.001	61.591	0	9999999	0	2.374	0.103	0.014	0.002	0.033	0.002	0	NA	NA	NA	NA	NA	NA	50	73	1	862	" Mtot = 840.64."	"07/08/16"	"19:07:43"	10000060.591	76.277	2.388	NA	NA	1008.41	26	756.369701451507	22.7930864587988	0	9999999
"126"	52	1	"07/08/16 19:18:03"	1468019788.36637	-22.644	0.158	9999999	0	-505.171	101.504	76.571	0.122	0.841	0.001	55.313	0	9999999	0	2.419	0.101	0.013	0.003	0.03	0.002	0	NA	NA	NA	NA	NA	NA	50	73	1	862	" Mtot = 840.64."	"07/08/16"	"19:18:03"	10000054.313	77.412	2.432	NA	NA	1008.41	26	756.369701451507	22.7930864587988	0	9999999
"136"	6	1	"07/10/16 08:51:10"	1468154975.58816	-43.023	1.646	-41.399	1.303	5.872	6.499	4.186	0.008	0.045	0	4.173	0.006	0.045	0	40.253	0.136	0.456	0.004	0.079	0.003	0	NA	NA	NA	NA	NA	NA	8	50	5	868	" Mtot = 951.33."	"07/10/16"	"08:51:10"	4.218	4.231	40.709	NA	NA	1009.33	27	757.059758199591	4.58616372405921	0	-41.399
"137"	7	1	"07/10/16 09:02:49"	1468155673.44725	-42.635	1.79	-41.192	1.426	1.546	3.052	4.146	0.009	0.045	0	4.133	0.006	0.045	0	79.863	0.161	0.9	0.003	0.077	0.003	0	NA	NA	NA	NA	NA	NA	8	50	5	868	" Mtot = 951.33."	"07/10/16"	"09:02:49"	4.178	4.191	80.763	NA	NA	1009.33	27	757.059758199591	4.58616372405921	0	-41.192
"138"	8	1	"07/10/16 09:13:00"	1468156284.4813	-42.061	2.867	-40.793	1.695	-4.237	2.643	2.89	0.008	0.031	0	2.882	0.004	0.031	0	96.206	0.165	1.078	0.004	0.08	0.003	0	NA	NA	NA	NA	NA	NA	15	51	5	868	" Mtot = 816.43."	"07/10/16"	"09:13:00"	2.913	2.921	97.284	NA	NA	1009.33	27	757.059758199591	4.58616372405921	0	-40.793
"139"	9	1	"07/10/16 09:23:12"	1468156896.77561	-42.363	2.397	-41.08	1.716	-3.923	3.123	2.959	0.007	0.032	0	2.951	0.004	0.032	0	100.967	0.169	1.132	0.004	0.083	0.003	0	NA	NA	NA	NA	NA	NA	15	51	5	867	" Mtot = 816.43."	"07/10/16"	"09:23:12"	2.983	2.991	102.099	NA	NA	1009.33	27	757.059758199591	4.58088012529877	0	-41.08
"140"	10	1	"07/10/16 09:37:06"	1468157730.24004	-41.861	2.16	-41.156	1.72	-4.058	2.196	3.189	0.008	0.034	0	3.181	0.005	0.034	0	96.95	0.182	1.086	0.003	0.068	0.003	0	NA	NA	NA	NA	NA	NA	36	52	5	867	" Mtot = 761.46. 0.5 mM BES"	"07/10/16"	"09:37:06"	3.215	3.223	98.036	NA	NA	1009.33	27	757.059758199591	4.58088012529877	0	-41.156
"141"	11	1	"07/10/16 09:47:57"	1468158380.98718	-41.803	2.566	-40.696	1.579	-4.897	2.041	3.208	0.009	0.035	0	3.199	0.005	0.035	0	111.494	0.181	1.248	0.003	0.073	0.003	0	NA	NA	NA	NA	NA	NA	36	52	5	867	" Mtot = 761.46. 0.5 mM BES"	"07/10/16"	"09:47:57"	3.234	3.243	112.742	NA	NA	1009.33	27	757.059758199591	4.58088012529877	0	-40.696
"145"	15	1	"07/10/16 10:32:04"	1468161028.76493	-37.789	0.899	-38.41	0.692	-8.351	3.995	8.304	0.014	0.09	0	8.297	0.012	0.09	0	67.559	0.161	0.754	0.003	0.054	0.002	0	NA	NA	NA	NA	NA	NA	30	58	3	867	" Mtot = 904.63."	"07/10/16"	"10:32:04"	8.387	8.394	68.313	NA	NA	1009.33	27	757.059758199591	7.63480020883129	0	-38.41
"146"	16	1	"07/10/16 10:41:59"	1468161624.34669	-37.713	0.667	-38.21	0.476	-6.218	2.322	13.213	0.018	0.143	0	13.201	0.019	0.143	0	112.937	0.175	1.263	0.003	0.074	0.002	0	NA	NA	NA	NA	NA	NA	30	58	5	866	" Mtot = 904.63. 5mL injection volume!"	"07/10/16"	"10:41:59"	13.344	13.356	114.2	NA	NA	1009.33	27	757.059758199591	4.57559652653833	0	-38.21
"147"	17	1	"07/10/16 10:52:57"	1468162282.42594	-37.995	0.964	-38.64	0.705	-3.383	3.413	9.037	0.014	0.098	0	9.031	0.013	0.098	0	71.048	0.138	0.797	0.003	0.088	0.002	0	NA	NA	NA	NA	NA	NA	30	58	3	865	" Mtot = 904.63."	"07/10/16"	"10:52:57"	9.129	9.135	71.845	NA	NA	1009.33	27	757.059758199591	7.61718821296316	0	-38.64
"148"	18	1	"07/10/16 11:05:39"	1468163043.16387	-37.764	0.729	-38.182	0.55	-8.682	2.403	10.28	0.015	0.111	0	10.269	0.015	0.111	0	84.784	0.165	0.945	0.003	0.054	0.002	0	NA	NA	NA	NA	NA	NA	14	59	3	866	" Mtot = 884.49."	"07/10/16"	"11:05:39"	10.38	10.391	85.729	NA	NA	1009.33	27	757.059758199591	7.62599421089722	0	-38.182
"149"	19	1	"07/10/16 11:15:43"	1468163648.54639	-37.825	0.861	-38.233	0.479	-9.222	2.687	10.295	0.018	0.111	0	10.285	0.015	0.111	0	84.967	0.167	0.947	0.003	0.063	0.002	0	NA	NA	NA	NA	NA	NA	14	59	3	866	" Mtot = 884.49."	"07/10/16"	"11:15:43"	10.396	10.406	85.914	NA	NA	1009.33	27	757.059758199591	7.62599421089722	0	-38.233
"150"	20	1	"07/10/16 11:26:36"	1468164301.33532	-37.652	1.006	-38.385	0.617	-12.659	2.914	8.182	0.015	0.089	0	8.177	0.012	0.088	0	74.388	0.163	0.826	0.003	0.079	0.002	0	NA	NA	NA	NA	NA	NA	33	61	3	866	" Mtot = 798.36."	"07/10/16"	"11:26:36"	8.265	8.271	75.214	NA	NA	1009.33	27	757.059758199591	7.62599421089722	0	-38.385
"151"	21	1	"07/10/16 11:37:52"	1468164975.87426	-37.434	0.828	-38.203	0.645	-13.113	2.864	8.312	0.014	0.09	0	8.309	0.012	0.09	0	80.609	0.171	0.896	0.003	0.101	0.002	0	NA	NA	NA	NA	NA	NA	33	61	3	866	" Mtot = 798.36."	"07/10/16"	"11:37:52"	8.399	8.402	81.505	NA	NA	1009.33	27	757.059758199591	7.62599421089722	0	-38.203
"168"	38	1	"07/10/16 14:49:21"	1468176465.17078	-20.896	0.141	9999999	0	-7.804	1.097	73.039	0.098	0.806	0.001	61.354	0	9999999	0	246.013	0.237	2.75	0.004	0.151	0.002	0	NA	NA	NA	NA	NA	NA	12	57	1	863	" Mtot = 882.95."	"07/10/16"	"14:49:21"	10000060.354	73.845	248.763	NA	NA	1009.33	27	757.059758199591	22.7987286512851	0	9999999
"169"	39	1	"07/10/16 14:59:50"	1468177093.96097	-22.786	0.182	9999999	0	-31.484	13.215	69.304	0.112	0.762	0.001	48.386	0	9999999	0	18.261	0.127	0.199	0.003	0.044	0.002	0	NA	NA	NA	NA	NA	NA	12	57	1	863	" Mtot = 882.95. valve seemed to be slightly loose before."	"07/10/16"	"14:59:50"	10000047.386	70.066	18.46	NA	NA	1009.33	27	757.059758199591	22.7987286512851	0	9999999
"170"	40	1	"07/10/16 15:10:27"	1468177731.66906	-22.747	0.159	9999999	0	-30.848	14.486	82.518	0.13	0.907	0.001	67.152	0	9999999	0	17.623	0.113	0.192	0.003	0.039	0.002	0	NA	NA	NA	NA	NA	NA	28	60	1	863	" Mtot = 809.11."	"07/10/16"	"15:10:27"	10000066.152	83.425	17.815	NA	NA	1009.33	27	757.059758199591	22.7987286512851	0	9999999
"171"	41	1	"07/10/16 15:21:56"	1468178421.43105	-22.774	0.157	9999999	0	-31.703	15.491	83.784	0.132	0.921	0.001	64.02	0	9999999	0	17.487	0.105	0.19	0.003	0.049	0.002	0	NA	NA	NA	NA	NA	NA	28	60	1	863	" Mtot = 809.11."	"07/10/16"	"15:21:56"	10000063.02	84.705	17.677	NA	NA	1009.33	27	757.059758199591	22.7987286512851	0	9999999
"182"	6	1	"07/11/16 09:54:53"	1468245197.69966	-6.091	2.051	-37.317	1.363	-16.524	0.213	3.824	0.008	0.043	0	3.906	0.005	0.042	0	13596.495	7.661	151.117	0.099	0.326	0.003	1	NA	NA	NA	NA	NA	NA	42	62	5	874	" Mtot = 916.04. Saw a lot of water in syringe. Switching to 25 ml syringe. 10 ml is really misbehavin"	"07/11/16"	"09:54:53"	3.948	3.867	13747.612	NA	NA	1014.9	28	761.23760177223	4.59252143070836	0	-37.317
"183"	7	1	"07/11/16 10:05:18"	1468245822.09202	-21.369	2.181	-40.494	1.604	-37.246	0.507	3.392	0.008	0.038	0	3.478	0.005	0.038	0	665.14	1.133	7.267	0.015	0.56	0.003	0	NA	NA	NA	NA	NA	NA	42	62	5	874	" Mtot = 916.04. Used 25 ml syringe."	"07/11/16"	"10:05:18"	3.516	3.43	672.407	NA	NA	1014.9	28	761.23760177223	4.59252143070836	0	-40.494
"184"	8	1	"07/11/16 10:15:51"	1468246455.68952	5.057	2.317	-49.446	1.437	-861.407	5.115	3.531	0.008	0.041	0	3.775	0.006	0.041	0	804.622	0.957	1.275	0.049	0.988	0.004	0	NA	NA	NA	NA	NA	NA	42	62	5	873	" Mtot = 916.04. Used 25 ml syringe."	"07/11/16"	"10:15:51"	3.816	3.572	805.897	NA	NA	1014.9	28	761.23760177223	4.58726682952906	0	-49.446
"185"	9	1	"07/11/16 10:26:10"	1468247075.73568	-8.406	1.624	-47.554	1.324	-639.46	6.527	4.444	0.008	0.05	0	4.668	0.006	0.051	0	127.079	0.32	0.524	0.011	0.94	0.004	1	NA	NA	NA	NA	NA	NA	43	63	5	873	" Mtot = 825.98."	"07/11/16"	"10:26:10"	4.719	4.494	127.603	NA	NA	1014.9	28	761.23760177223	4.58726682952906	0	-47.554
"186"	10	1	"07/11/16 10:36:49"	1468247713.47986	8.572	1.932	-59.427	1.267	-477.043	5.032	4.037	0.008	0.046	0	4.36	0.006	0.046	0	144.628	0.301	0.861	0.007	0.718	0.005	1	NA	NA	NA	NA	NA	NA	43	63	5	873	" Mtot = 825.98."	"07/11/16"	"10:36:49"	4.406	4.083	145.489	NA	NA	1014.9	28	761.23760177223	4.58726682952906	0	-59.427
"187"	11	1	"07/11/16 10:51:03"	1468248567.39813	5.919	2.11	-56.856	1.389	-1303.409	22.547	4.082	0.01	0.047	0	4.383	0.007	0.047	0	27.413	0.202	-0.095	0.006	0.659	0.004	1	NA	NA	NA	NA	NA	NA	45	65	5	872	" Mtot = 901.14. (didnt need to run that)"	"07/11/16"	"10:51:03"	4.43	4.129	27.318	NA	NA	1014.9	28	761.23760177223	4.58201222834976	0	-56.856
"188"	12	1	"07/11/16 11:00:44"	1468249148.72863	-0.414	2.513	-53.257	1.649	-185.882	2.736	3.172	0.008	0.036	0	3.377	0.005	0.036	0	114.309	0.24	1.058	0.005	0.665	0.004	0	NA	NA	NA	NA	NA	NA	49	64	5	872	" Mtot = 834.15."	"07/11/16"	"11:00:44"	3.413	3.208	115.367	NA	NA	1014.9	28	761.23760177223	4.58201222834976	0	-53.257
"189"	13	1	"07/11/16 11:12:47"	1468249871.79759	-5.23	2.57	-53.213	1.43	-105.262	4.212	3.179	0.008	0.036	0	3.368	0.005	0.036	0	123.612	0.222	1.258	0.008	0.671	0.004	0	NA	NA	NA	NA	NA	NA	49	64	5	872	" Mtot = 834.15."	"07/11/16"	"11:12:47"	3.404	3.215	124.87	NA	NA	1014.9	28	761.23760177223	4.58201222834976	0	-53.213
"194"	18	1	"07/11/16 12:18:29"	1468253814.08037	-35.638	0.841	-38.325	0.636	-132.114	3.463	8.589	0.014	0.094	0	8.615	0.012	0.093	0	65.874	0.186	0.646	0.003	0.354	0.003	0	NA	NA	NA	NA	NA	NA	44	66	3	870.5	" Mtot = 961.73."	"07/11/16"	"12:18:29"	8.708	8.683	66.52	NA	NA	1014.9	28	761.23760177223	7.62355054430134	0	-38.325
"195"	19	1	"07/11/16 12:28:37"	1468254422.62241	-34.64	0.913	-38.678	0.602	-107.672	3.092	7.489	0.013	0.082	0	7.526	0.012	0.082	0	66.792	0.177	0.674	0.003	0.36	0.003	0	NA	NA	NA	NA	NA	NA	44	66	3	870.5	" Mtot = 961.73."	"07/11/16"	"12:28:37"	7.608	7.571	67.466	NA	NA	1014.9	28	761.23760177223	7.62355054430134	0	-38.678
"196"	20	1	"07/11/16 12:40:09"	1468255114.14914	-34.388	0.971	-39.111	0.665	-88.1	3.176	7.491	0.012	0.082	0	7.533	0.011	0.082	0	73.735	0.175	0.761	0.003	0.388	0.003	0	NA	NA	NA	NA	NA	NA	44	66	3	870.5	" Mtot = 961.73."	"07/11/16"	"12:40:09"	7.615	7.573	74.496	NA	NA	1014.9	28	761.23760177223	7.62355054430134	0	-39.111
"197"	21	1	"07/11/16 12:56:07"	1468256071.5638	-22.553	0.132	9999999	0	-169.468	3.898	225.329	0.32	2.486	0.004	199.105	0	9999999	0	66.253	0.178	0.621	0.004	0.274	0.003	0	NA	NA	NA	NA	NA	NA	47	72	3	870	" Mtot = 921.89.  (woops this is 500 x)."	"07/11/16"	"12:56:07"	10000198.105	227.815	66.874	NA	NA	1014.9	28	761.23760177223	7.61917170998526	0	9999999
"199"	23	1	"07/11/16 13:21:01"	1468257566.26708	-32.964	1.07	-38.939	0.69	-126.995	2.826	8.043	0.016	0.088	0	8.112	0.012	0.088	0	81.404	0.215	0.808	0.004	0.653	0.004	0	NA	NA	NA	NA	NA	NA	48	68	3	869	" Mtot = 890.51."	"07/11/16"	"13:21:01"	8.2	8.131	82.212	NA	NA	1014.9	28	761.23760177223	7.61041404135309	0	-38.939
"200"	24	1	"07/11/16 13:31:19"	1468258183.90395	-34.622	0.907	-38.385	0.693	-205.226	3.199	7.99	0.015	0.087	0	8.034	0.013	0.087	0	90.834	0.259	0.819	0.005	0.532	0.004	0	NA	NA	NA	NA	NA	NA	48	68	3	869	" Mtot = 890.51."	"07/11/16"	"13:31:19"	8.121	8.077	91.653	NA	NA	1014.9	28	761.23760177223	7.61041404135309	0	-38.385
"201"	25	1	"07/11/16 13:44:35"	1468258980.09196	-35.226	0.721	-38.096	0.618	-259.799	2.979	8.678	0.014	0.095	0	8.711	0.012	0.095	0	93.749	0.249	0.786	0.003	0.441	0.003	0	NA	NA	NA	NA	NA	NA	46	67	3	869	" Mtot = 889.83."	"07/11/16"	"13:44:35"	8.806	8.773	94.535	NA	NA	1014.9	28	761.23760177223	7.61041404135309	0	-38.096
"202"	26	1	"07/11/16 13:55:22"	1468259626.64119	-34.899	0.913	-38.244	0.494	-115.483	3.153	8.508	0.015	0.093	0	8.545	0.014	0.093	0	82.451	0.218	0.826	0.003	0.437	0.004	0	NA	NA	NA	NA	NA	NA	46	67	3	869	" Mtot = 889.83."	"07/11/16"	"13:55:22"	8.638	8.601	83.277	NA	NA	1014.9	28	761.23760177223	7.61041404135309	0	-38.244
"210"	34	1	"07/11/16 15:33:52"	1468265537.07014	-22.693	0.122	9999999	0	-143.942	9.706	77.984	0.125	0.858	0.001	62.422	0	9999999	0	26.586	0.144	0.256	0.003	0.141	0.002	0	NA	NA	NA	NA	NA	NA	19	70	1	867	" Mtot = 908.21."	"07/11/16"	"15:33:52"	10000061.422	78.842	26.842	NA	NA	1014.9	28	761.23760177223	22.7786961122663	0	9999999
"211"	35	1	"07/11/16 15:44:12"	1468266156.44436	-22.67	0.155	9999999	0	-143.131	9.241	77.363	0.123	0.852	0.001	53.392	0	9999999	0	26.719	0.142	0.258	0.003	0.152	0.002	0	NA	NA	NA	NA	NA	NA	19	70	1	867	" Mtot = 908.21."	"07/11/16"	"15:44:12"	10000052.392	78.215	26.977	NA	NA	1014.9	28	761.23760177223	22.7786961122663	0	9999999
"212"	36	1	"07/11/16 15:55:27"	1468266830.90714	-22.678	0.133	9999999	0	-138.301	10.22	77.642	0.124	0.855	0.001	58.06	0	9999999	0	24.951	0.134	0.242	0.003	0.14	0.002	0	NA	NA	NA	NA	NA	NA	40	71	1	867	" Mtot = 882.03."	"07/11/16"	"15:55:27"	10000057.06	78.497	25.193	NA	NA	1014.9	28	761.23760177223	22.7786961122663	0	9999999
"213"	37	1	"07/11/16 16:06:14"	1468267478.95297	-22.699	0.182	9999999	0	-165.733	10.22	77.989	0.121	0.858	0.001	56.072	0	9999999	0	27.715	0.122	0.26	0.003	0.134	0.002	0	NA	NA	NA	NA	NA	NA	40	71	1	867	" Mtot = 882.03."	"07/11/16"	"16:06:14"	10000055.072	78.847	27.975	NA	NA	1014.9	28	761.23760177223	22.7786961122663	0	9999999
"214"	38	1	"07/11/16 16:17:28"	1468268151.97148	-22.71	0.132	9999999	0	-161.857	10.512	72.53	0.114	0.798	0.001	57.194	0	9999999	0	26.039	0.124	0.246	0.003	0.128	0.002	0	NA	NA	NA	NA	NA	NA	47	72	1	867	" Mtot = 921.89."	"07/11/16"	"16:17:28"	10000056.194	73.328	26.285	NA	NA	1014.9	28	761.23760177223	22.7786961122663	0	9999999
"215"	39	1	"07/11/16 16:29:03"	1468268847.85884	-22.753	0.173	9999999	0	-158.858	10.457	73.587	0.116	0.81	0.001	59.619	0	9999999	0	25.253	0.146	0.239	0.003	0.119	0.002	0	NA	NA	NA	NA	NA	NA	47	72	1	867	" Mtot = 921.89."	"07/11/16"	"16:29:03"	10000058.619	74.397	25.492	NA	NA	1014.9	28	761.23760177223	22.7786961122663	0	9999999
"229"	7	1	"07/13/16 08:41:39"	1468413604.09508	-42.465	1.785	-41.587	1.208	-8.99	0.81	3.809	0.008	0.041	0	3.8	0.006	0.041	0	346.619	0.354	3.869	0.006	0.132	0.004	0	NA	NA	NA	NA	NA	NA	8	50	5	857	" Mtot = 951.33."	"07/13/16"	"08:41:39"	3.841	3.85	350.488	NA	NA	1015.91	30	761.995164071757	4.49871621452598	0	-41.587
"230"	8	1	"07/13/16 08:51:47"	1468414211.88816	-42.13	2.101	-41.263	1.192	-9.036	0.761	3.83	0.01	0.041	0	3.822	0.006	0.041	0	358.321	0.38	3.999	0.006	0.132	0.003	0	NA	NA	NA	NA	NA	NA	8	50	5	857	" Mtot = 951.33."	"07/13/16"	"08:51:47"	3.863	3.871	362.32	NA	NA	1015.91	30	761.995164071757	4.49871621452598	0	-41.263
"231"	9	1	"07/13/16 09:01:28"	1468414792.02491	-42.48	3.165	-41.694	2.205	-11.95	1.548	2.552	0.007	0.028	0	2.548	0.005	0.027	0	164.744	0.257	1.833	0.004	0.137	0.003	0	NA	NA	NA	NA	NA	NA	15	51	5	857	" Mtot = 816.43."	"07/13/16"	"09:01:28"	2.575	2.58	166.577	NA	NA	1015.91	30	761.995164071757	4.49871621452598	0	-41.694
"232"	10	1	"07/13/16 09:11:17"	1468415382.25601	-42.711	3.427	-41.288	2.404	-12.146	1.732	2.531	0.008	0.027	0	2.526	0.004	0.027	0	162.472	0.247	1.808	0.003	0.135	0.003	0	NA	NA	NA	NA	NA	NA	15	51	5	857	" Mtot = 816.43."	"07/13/16"	"09:11:17"	2.553	2.558	164.28	NA	NA	1015.91	30	761.995164071757	4.49871621452598	0	-41.288
"233"	11	1	"07/13/16 09:23:43"	1468416128.6047	-41.637	3.239	-40.931	2.166	-12.304	1.368	2.815	0.009	0.03	0	2.812	0.005	0.03	0	167.702	0.242	1.866	0.004	0.148	0.003	0	NA	NA	NA	NA	NA	NA	36	52	5	857	" Mtot = 761.46. 0.5 mM BES"	"07/13/16"	"09:23:43"	2.842	2.845	169.568	NA	NA	1015.91	30	761.995164071757	4.49871621452598	0	-40.931
"234"	12	1	"07/13/16 09:33:47"	1468416732.08125	-40.312	2.164	-40.661	1.597	-15.218	1.609	2.822	0.007	0.031	0	2.824	0.005	0.031	0	174.419	0.247	1.937	0.005	0.195	0.003	0	NA	NA	NA	NA	NA	NA	36	52	5	857	" Mtot = 761.46. 0.5 mM BES"	"07/13/16"	"09:33:47"	2.855	2.853	176.356	NA	NA	1015.91	30	761.995164071757	4.49871621452598	0	-40.661
"235"	13	1	"07/13/16 09:43:59"	1468417344.64091	-41.845	2.259	-41.249	1.566	-89.898	14.216	3.45	0.008	0.037	0	3.449	0.006	0.037	0	17.784	0.123	0.183	0.003	0.206	0.003	0	NA	NA	NA	NA	NA	NA	23	53	5	857	" Mtot = 809.55. 31 mM NaOH"	"07/13/16"	"09:43:59"	3.486	3.487	17.967	NA	NA	1015.91	30	761.995164071757	4.49871621452598	0	-41.249
"236"	14	1	"07/13/16 09:53:57"	1468417941.24061	-41.519	2.005	-41.436	1.603	-120.565	12.399	3.456	0.009	0.037	0	3.461	0.006	0.037	0	18.546	0.138	0.184	0.003	0.312	0.003	0	NA	NA	NA	NA	NA	NA	23	53	5	857	" Mtot = 809.55. 31 mM NaOH"	"07/13/16"	"09:53:57"	3.498	3.493	18.73	NA	NA	1015.91	30	761.995164071757	4.49871621452598	0	-41.436
"241"	19	1	"07/13/16 10:46:22"	1468421087.37346	-41.685	0.965	-42.876	0.61	-197.525	33.391	8.291	0.016	0.089	0	8.287	0.013	0.089	0	7.564	0.106	0.068	0.003	0.101	0.003	0	NA	NA	NA	NA	NA	NA	11	56	3	857	" Mtot = 820.55. 31 mM NaOH"	"07/13/16"	"10:46:22"	8.376	8.38	7.632	NA	NA	1015.91	30	761.995164071757	7.49786035754331	0	-42.876
"242"	20	1	"07/13/16 10:56:07"	1468421672.54658	-42.346	0.962	-43.171	0.677	-193.972	36.058	8.22	0.014	0.089	0	8.213	0.013	0.088	0	7.348	0.107	0.067	0.003	0.108	0.003	0	NA	NA	NA	NA	NA	NA	11	56	3	856	" Mtot = 820.55. 31 mM NaOH"	"07/13/16"	"10:56:07"	8.301	8.309	7.415	NA	NA	1015.91	30	761.995164071757	7.48911139563252	0	-43.171
"243"	21	1	"07/13/16 11:08:10"	1468422394.00017	-37.788	1.023	-38.603	0.756	-21.361	2.697	7.627	0.013	0.083	0	7.625	0.013	0.083	0	87.12	0.188	0.96	0.003	0.129	0.003	0	NA	NA	NA	NA	NA	NA	30	58	3	856	" Mtot = 904.63."	"07/13/16"	"11:08:10"	7.708	7.71	88.08	NA	NA	1015.91	30	761.995164071757	7.48911139563252	0	-38.603
